"title","centrality_type","centrality_value","canonisation_score","outlier_class","residual","z_residual"
"1880_ACROSS_THE_ZODIAC_Q4676516","indegree",0.0439031926447278,0.0477757206414661,"Normal",-0.00387252799673833,0.241377053261781
"1880_ACROSS_THE_ZODIAC_Q4676516","pagerank",0.00184538866437145,0.0477757206414661,"Normal",-0.0459303319770947,0.584518473087436
"1880_ACROSS_THE_ZODIAC_Q4676516","betweenness",0.0020005715918834,0.0477757206414661,"Normal",-0.0457751490495827,0.374269161445029
"1880_ACROSS_THE_ZODIAC_Q4676516","closeness",0.00466944672571291,0.0477757206414661,"Normal",-0.0431062739157532,0.382078659260597
"1909_ACTIONS_AND_REACTIONS_noWikiID","indegree",0,0.117501066676145,"Normal",-0.117501066676145,-0.264289077764536
"1909_ACTIONS_AND_REACTIONS_noWikiID","pagerank",0,0.117501066676145,"Normal",-0.117501066676145,0.23401067705979
"1909_ACTIONS_AND_REACTIONS_noWikiID","betweenness",0,0.117501066676145,"Normal",-0.117501066676145,0.0474919124036723
"1909_ACTIONS_AND_REACTIONS_noWikiID","closeness",0,0.117501066676145,"Normal",-0.117501066676145,0.0458302973164613
"1859_ADAM_BEDE_Q2611046","indegree",0.0879723198449557,0.733799591996489,"Normal",-0.645827272151533,-2.61542965694874
"1859_ADAM_BEDE_Q2611046","pagerank",0.00474365758217889,0.733799591996489,"Normal",-0.72905593441431,-2.76099488970194
"1859_ADAM_BEDE_Q2611046","betweenness",0.00314375535867391,0.733799591996489,"Normal",-0.730655836637815,-2.74598965736657
"1859_ADAM_BEDE_Q2611046","closeness",0.0105147615710668,0.733799591996489,"Normal",-0.723284830425422,-2.69218120449789
"1864_ADELA_CATHCART_noWikiID","indegree",0.0877153673747412,0.11291791638611,"Normal",-0.0252025490113688,0.146454867985689
"1864_ADELA_CATHCART_noWikiID","pagerank",0.00649428638605924,0.11291791638611,"Normal",-0.106423630000051,0.288260894432857
"1864_ADELA_CATHCART_noWikiID","betweenness",0.0282937982280647,0.11291791638611,"Normal",-0.0846241181580453,0.197276525122803
"1864_ADELA_CATHCART_noWikiID","closeness",0.0239037746338867,0.11291791638611,"Normal",-0.0890141417522233,0.17458503252145
"1804_ADELINE_MOWBRAY_Q65083334","indegree",0,0.0520374856859669,"Normal",-0.0520374856859669,0.0270348810503166
"1804_ADELINE_MOWBRAY_Q65083334","pagerank",0,0.0520374856859669,"Normal",-0.0520374856859669,0.554609530619541
"1804_ADELINE_MOWBRAY_Q65083334","betweenness",0,0.0520374856859669,"Normal",-0.0520374856859669,0.34573848234988
"1804_ADELINE_MOWBRAY_Q65083334","closeness",0,0.0520374856859669,"Normal",-0.0520374856859669,0.341711515049539
"1788_ADVENTURES_OF_A_PINCUSHION_noWikiID","indegree",0.0440195178746811,0.0477757206414661,"Normal",-0.00375620276678499,0.241894720123072
"1788_ADVENTURES_OF_A_PINCUSHION_noWikiID","pagerank",0.00356929005605876,0.0477757206414661,"Normal",-0.0442064305854073,0.592961042245208
"1788_ADVENTURES_OF_A_PINCUSHION_noWikiID","betweenness",0.00142897970848814,0.0477757206414661,"Normal",-0.046346740932978,0.371665036891297
"1788_ADVENTURES_OF_A_PINCUSHION_noWikiID","closeness",0.0106950357333115,0.0477757206414661,"Normal",-0.0370806849081546,0.409313017451219
"1856_AFTER_DARK_noWikiID","indegree",0.0879864897775297,0.132226821715085,"Normal",-0.0442403319375553,0.0617335281930102
"1856_AFTER_DARK_noWikiID","pagerank",0.0047378043198242,0.132226821715085,"Normal",-0.127489017395261,0.18509606680588
"1856_AFTER_DARK_noWikiID","betweenness",0.00571591883395256,0.132226821715085,"Normal",-0.126510902881132,0.00644385632012516
"1856_AFTER_DARK_noWikiID","closeness",0.0124783092397291,0.132226821715085,"Normal",-0.119748512475356,0.0356723287207715
