TTR-100-sliding,Compressibility,Readability,Mean sentence length,Mean word length
0.4191582482943515,0.6559822405772564,0.5065643485107563,0.20255538168801618,0.31041511094202306
0.48969580868500917,0.6093712833375062,0.3583096868772689,0.33265846641656666,0.38706222627792974
0.5451996731582748,0.5948893312643462,0.4806091063533091,0.14040105959025698,0.31331522352444974
0.44956343902886886,0.6122649942184918,0.49618458836526597,0.14800991770945396,0.3935965061730082
0.32230841458433573,0.6762417582094107,0.5133708293460869,0.2698252877072344,0.32009229299093717
0.31009645333646435,0.5712345117439882,0.1740947671336607,0.5268537679315523,0.5192758818718197
0.4629771550393255,0.5789018986380399,0.20436515996446664,0.47858139973531744,0.4239333330667063
0.505978855211966,0.5994204392523528,0.44075613479349784,0.21553679773153833,0.3794185730172349
0.49628903891783566,0.6165505895634787,0.4526404177522215,0.2417582062300543,0.3320123225069493
0.22379869060246635,0.6958780102099561,0.6404156811885292,0.1143314033524361,0.20606801422382018
0.4460996129172792,0.6357702541505501,0.43670627896734016,0.30074420270926217,0.340046864034457
0.5140792301168979,0.6138739211780326,0.4602761461663524,0.2772752766175624,0.26485022995426877
0.41608800368901633,0.6589950916197024,0.4654267092127973,0.2668705182914741,0.3236577624983147
0.35591236259385545,0.6294504754917013,0.5736509224203116,0.05868300981097193,0.3802622945047036
0.4896622023010336,0.6191078591707121,0.5117450991470363,0.21880801024067847,0.25918409384887936
0.29192593857133536,0.6600396307095671,0.42340270256471296,0.38437704992605987,0.39001457310344134
0.4456277492218393,0.6084822659023178,0.4401042391926958,0.21457352157117962,0.4375290889655449
0.5507192386266337,0.5782916684284757,0.4093576578507022,0.1816598610897816,0.40213563540245917
0.43792937111262364,0.593093692704397,0.25951064955679,0.5287135024298547,0.33101962586247524
0.3880666870284843,0.6437567722491925,0.5927640358650514,0.20972164342973493,0.19907057709301237
0.5662686863426915,0.6229735330149958,0.44479922110548525,0.19926770045055786,0.23171057052201308
0.25861796975630746,0.6742887984070784,0.6025728137462452,0.08075031888590148,0.3299041560750969
0.5479357776713402,0.5993109081009568,0.3971066931980061,0.21994240501929346,0.3667757239384633
