doc_name,MSTTR-100,TTR-100-sliding,Compressibility,Passive/Active ratio,"""que"" relative frequency","""de"" relative frequency",Flesch Reading Ease,Mean sentence length,Mean word length,Noun/Word ratio
1957_Simenon-Georges_Maigret-s-amuse,0.7185425101214585,0.7201156619672495,3.860814269096549,0.020426287744227355,0.010370550063678817,0.04067358036670912,81.12,13.813415825464018,4.371820560571415,0.17882652459866574
1909_Farrere-Claude_La-Bataille,0.7242190016103064,0.7238465880683415,3.506904296006404,0.02280130293159609,0.013187981063411807,0.05669704679398409,72.97,13.119512814006598,4.613260095930682,0.19760560111403372
1899_Bazin-Rene_La-terre-qui-meurt,0.710568603213846,0.7100218869791176,3.834238093840782,0.013348070056112906,0.0074966962664723535,0.04535068977015895,78.89,14.234969194816232,4.340636379917616,0.18625753686347082
1913_Rosny-aine-J-H_La-Force-mysterieuse,0.7370932754880694,0.7365816381911605,3.5311250229639786,0.023685019993848047,0.007993587799488756,0.04081278974047918,72.56,11.525660041530703,4.917972872107688,0.21156667438807814
1911_Chateaubriant-Alphonse-de_Monsieur-des-Lourdines,0.7076470588235304,0.7083568334551377,3.5570249435460846,0.012705069692858024,0.007313427524111178,0.04327556140787928,81.33,12.887383573243014,4.428449408672799,0.19439334209373632
1857_About-Edmond_Le-Roi-des-montagnes,0.7403266331658294,0.7410229658215263,3.639667410632615,0.02310643977310644,0.011550243559483754,0.043614724049615826,80.31,13.371467286101433,4.332932814105997,0.18894856464525095
1963_Beauvoir-Simone-de_La-force-des-choses_1,0.7407336523126,0.7409257810629393,3.4043984798454927,0.022393738449831502,0.008623162995313845,0.04252606076062355,64.54,14.5402576489533,4.584011665466895,0.18733041696660946
1897_Ivoi-Paul-d-_Jean-Fanfare,0.7393014925373151,0.7395024869680344,3.776006067867024,0.03046551303923958,0.008468001814145561,0.047752607834244384,71.95,12.892342546443135,4.667083722859131,0.20498077558393724
1847_Sue-Eugene_Martin-l-enfant-trouve_Tome-II,0.7171915584415606,0.7167144319345401,3.941956756551894,0.022356121184818112,0.011282375954740628,0.044496392074739655,66.41,16.185768261964736,4.491012722250321,0.17906470061860483
1897_Gide-Andre_Les-nourritures-terrestres,0.7079829545454542,0.7079356012163214,3.377228103946102,0.015097338100913786,0.015360199512554554,0.04783766933061271,77.87,10.445686342996856,4.366080385206982,0.19962549321206446
1960_Delly_La-colombe-de-Rudsay-Manor,0.7367633928571423,0.7374745444801458,3.738082705530151,0.02125198785600694,0.009513624312100349,0.0363389256511374,73.58,13.01343900758098,4.5145240301866805,0.16216073083542962
1832_Karr-Alphonse_Sous-les-tilleuls,0.7004060913705625,0.6991148708944956,3.9699452424597865,0.023889712155911805,0.014021401850187049,0.03829423194037642,73.21,15.437727509100364,4.2329995705154655,0.16903163869403018
2007_Musso-Guillaume_Parce-que-je-t-aime,0.7336541143654121,0.7330987961230202,3.5127975516871515,0.018508535489667566,0.015257806725150277,0.05382072774438292,82.14,7.6876712328767125,4.434183243698568,0.19320611676278104
1935_Calet-Henri_La-belle-lurette,0.7299401197604787,0.728012161878783,3.1500009368032527,0.02390710382513661,0.006361627142942476,0.045905262529120125,81.73,12.469703670942062,4.483471660637015,0.2241611690430588
1904_Rolland-Romain_Jean-Christophe_Tome-III-L-adolescent,0.6843272171253818,0.6836019037125277,3.839034420462109,0.023153040637909503,0.0087554435021774,0.04211169684467874,79.9,12.462622131333788,4.392156505250875,0.15176487747957992
1953_de-La-Varende-Jean_L-Homme-aux-gants-de-toile,0.7210577644411136,0.7216456617851574,3.6323015777429846,0.015983500902294407,0.00733562352799988,0.036685618277553594,79.3,12.18758389261745,4.558890204392559,0.19133236047247998
1837_Nodier-Charles_Ines-de-Las-Sierras,0.7357142857142854,0.7353337485345526,3.4351442307692306,0.03014954172696575,0.012484029932469429,0.04920605949990874,62.92,20.006666666666668,4.490211596134622,0.17052649116961013
1893_Malot-Hector_En-Famille,0.7164378029079186,0.7169189695702036,4.045109546165884,0.021892374900714853,0.014012204177832305,0.03714525554515223,71.48,19.198736462093862,4.356972950611596,0.160857833228345
1876_Malot-Hector_Ida-et-Carmelita,0.7050263157894745,0.7057381215760954,3.9409168655109066,0.024373204998835676,0.024593937002696128,0.04204642598803183,76.05,16.05077262693157,4.370360182765629,0.15593147817050995
1899_Mirbeau-Octave_Le-Jardin-des-supplices,0.6844244105409162,0.6849355603956536,3.5658717456783005,0.017369727047146403,0.010487379124989609,0.04632733922584578,69.04,13.45617255621845,4.4937928447188025,0.19318918181508135
1888_Beaugrand-Honore_Jeanne-la-fileuse,0.7259431137724561,0.7255176285650085,3.927643784786642,0.03363559679460144,0.010105540108230933,0.061500284031452745,60.58,22.238183848157796,4.618954379623122,0.20811995849650233
1918_Leblanc-Maurice_Le-Triangle-d-or,0.7064685004436576,0.7058769072366382,3.9935839014253944,0.02756021435722278,0.01177701708022206,0.03429346765754421,82.54,11.053087885985748,4.32574381896913,0.16966271610775033
1917_Boylesve-Rene_Le-Bonheur-a-cinq-sous,0.6985396825396821,0.6990089646183588,3.50326887980225,0.03064876957494407,0.010902512180026344,0.03702410613682891,76.96,14.618562535370685,4.32342921296117,0.18113894158182028
