"title","centrality_type","centrality_value","canonisation_score","outlier_class","residual","z_residual"
"1792_ABDALLAH_noWikiID","indegree",0.344408351532388,0.0560723413501725,"Normal",0.288336010182215,1.17528557661001
"1792_ABDALLAH_noWikiID","pagerank",0.0672306483990035,0.0560723413501725,"Normal",0.011158307048831,0.632169315546925
"1792_ABDALLAH_noWikiID","betweenness",0.459949937421777,0.0560723413501725,"Normal",0.403877596071604,2.26192316972296
"1792_ABDALLAH_noWikiID","closeness",0.214886451571836,0.0560723413501725,"Normal",0.158814110221664,1.07305973404458
"1867_ABU_TELFAN_Q335418","indegree",0.0984209387920442,0.135719851904178,"Normal",-0.0372989131121338,-0.209203184311266
"1867_ABU_TELFAN_Q335418","pagerank",0.003459030435392,0.135719851904178,"Normal",-0.132260821468786,-0.0935992362219821
"1867_ABU_TELFAN_Q335418","betweenness",0.00625782227784732,0.135719851904178,"Normal",-0.129462029626331,-0.274611799303906
"1867_ABU_TELFAN_Q335418","closeness",0.0114782387235415,0.135719851904178,"Normal",-0.124241613180637,-0.209806092057465
"1778_ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE_noWikiID","indegree",0.185778732684415,0.0275134422375932,"Normal",0.158265290446822,0.62226918703863
"1778_ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE_noWikiID","pagerank",0.0343819967233492,0.0275134422375932,"Normal",0.00686855448575602,0.61046114079137
"1778_ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE_noWikiID","betweenness",0.0506883604505624,0.0275134422375932,"Normal",0.0231749182129692,0.451321428052414
"1778_ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE_noWikiID","closeness",0.247718789823132,0.0275134422375932,"Normal",0.220205347585539,1.35129724674909
"1825_ADDRICH_IM_MOOS_noWikiID","indegree",0.295208228912075,0.0221068485323305,"Normal",0.273101380379745,1.1105131206187
"1825_ADDRICH_IM_MOOS_noWikiID","pagerank",0.0297077237211051,0.0221068485323305,"Normal",0.0076008751887746,0.614167029549402
"1825_ADDRICH_IM_MOOS_noWikiID","betweenness",0.0782227784730911,0.0221068485323305,"Normal",0.0561159299407606,0.607987132486666
