title,indegree,pagerank,betweenness,closeness,eigenvector,canonisation_score,louvain_cluster,leiden_cluster
ACROSS_THE_ZODIAC_Q4676516,91.5467817679734,0.001719809427365559,0.0009782007206877471,0.31577412694053625,0.015276831236873527,0.0477757206414661,0,1
ACTIONS_AND_REACTIONS_noWikiID,41.280903112247294,0.0008751467931728428,0.005381193274161994,0.3305737629147298,0.018055105083938153,0.117501066676145,1,3
ADAM_BEDE_Q2611046,29.889586589718327,0.0006202959028930433,0.004237417375807724,0.33322598525383695,0.010012097280983536,0.733799591996489,1,3
ADELA_CATHCART_noWikiID,114.31769566209813,0.0018809242516861246,0.001209134521117371,0.34600922587246385,0.022410048850668024,0.11291791638611,2,2
ADELINE_MOWBRAY_Q65083334,50.06097323833138,0.0006444998870277947,0.002690596637080997,0.29564235016798723,0.0021967181138108144,0.0520374856859669,0,1
ADVENTURES_OF_A_PINCUSHION_noWikiID,72.92183983976489,0.0010864018517866853,0.001960758682893034,0.31041046887465285,0.006882117941941485,0.0477757206414661,0,1
AFTER_DARK_noWikiID,84.83087654065947,0.00256354682383896,0.0020239386848973652,0.4215846368622829,0.06581427346270763,0.132226821715085,3,4
"AFTER_LONDON;_OR,_WILD_ENGLAND_noWikiID",78.74514452529436,0.001610345494293238,0.0028300283656422795,0.4178606380180178,0.03171286702088085,0.11291791638611,4,0
AGNES_GREY_Q517172,49.722635409806564,0.0009065498779525366,0.0031698932040104054,0.37103830425639966,0.011287947964017806,0.325982643945805,3,4
ALEC_FORBES_OF_HOWGLEN_noWikiID,79.76106965738178,0.0017226583654793353,0.0026709890502520667,0.3524643765251059,0.032572878937865854,0.11291791638611,2,5
ALICE'S_ADVENTURES_IN_WONDERLAND_Q92640,51.35956684135812,0.0005948542743619354,0.011627298989555692,0.27537940511336345,0.001991753991243776,0.384640372733741,2,2
ALLAN_QUATERMAIN_(NOVEL)_Q4062545,78.78555759812929,0.0018993141396978978,0.0029629242319272517,0.3882640690465018,0.04588178384429797,0.142891468333576,1,3
ALL_SORTS_AND_CONDITIONS_OF_MEN_noWikiID,96.71737275991195,0.0021689455902613435,0.0011524903813893502,0.376017116578389,0.04033939738371717,0.0520374856859669,4,2
ALMAYER'S_FOLLY_Q2404359,65.82082463603375,0.001496384566655261,0.0032875387249839873,0.40224756821142715,0.03222527800177542,0.122244604531682,4,0
ALTON_LOCKE_Q4736895,90.83733285776235,0.0028518141463596447,0.00027886345712256486,0.45073000250630074,0.0791881177828536,0.148487553986026,4,0
AMY_FOSTER_Q4749187,78.60216198779862,0.0017464068861150265,0.0013681738365075838,0.3628791982194345,0.04135537879939438,0.11291791638611,1,3
ANNALS_OF_THE_PARISH_Q4767877,38.066338351261,0.0004023081547254078,0.017864690221914312,0.28798135904906136,0.0002876512351966554,0.172694745758032,0,1
ANNA_ST_IVES_noWikiID,87.82972224895556,0.00261934657047575,0.0011067393454551792,0.40882729478339336,0.07232893035106865,0.122244604531682,1,3
ANN_VERONICA_Q1247736,61.83349305520091,0.0014314251172687698,0.0015707855670731973,0.3642976145930286,0.028606554276036218,0.160221548263055,4,0
ANTAR_noWikiID,48.42025998886059,0.0006592576598192389,0.005248297407877021,0.3294811324188669,0.004793709897899849,0.0477757206414661,4,2
AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS_Q2743569,35.69948560447112,0.0006113548017679305,0.01900193025799227,0.36380266111860876,0.00851540971668221,0.137472234822425,4,3
AN_IRISH_COUSIN_noWikiID,73.8553092799646,0.0016612981695079663,0.0005577269142451297,0.3621804559631205,0.041567519966650215,0.0543008598413405,1,3
AN_OUTCAST_OF_THE_ISLANDS_Q1090444,62.63981654924946,0.001665192880400906,0.001782111780673891,0.37876969625200335,0.04012337825457076,0.11291791638611,4,0
ARMADALE_Q4792516,114.8057367010915,0.003826052237814697,0.00018736138525422325,0.4376488220227567,0.1110004674800852,0.395337204568379,4,0
ARTHUR_MERVYN_Q4799713,35.80382540127585,0.0005160914844179547,0.007246092643669147,0.32634491835951807,0.003369887838786724,0.0477757206414661,4,0
AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593,23.762516726122314,0.0003757993873704157,0.0023725180063005713,0.23923165538924152,0.0006551371885103497,0.137472234822425,2,2
AT_THE_END_OF_THE_PASSAGE_noWikiID,38.28002213350795,0.0006720820635772642,0.003535901491483772,0.32493062698236563,0.010082870554079757,0.117501066676145,1,3
AULD_LICHT_IDYLLS_noWikiID,102.80668273736148,0.003012718823025594,0.00038125863278475666,0.4123355303586236,0.08308677555632182,0.117501066676145,1,3
AURORA_FLOYD_Q4822530,96.5593383446795,0.0023804786240389795,0.00019389724753053337,0.35811880318640765,0.044072724483123646,0.316181109886472,3,4
AYESHA_(NOVEL)_Q2604590,54.680143115728235,0.0011664472642148602,0.0025402718047258643,0.3447478023487364,0.026204763026849688,0.142891468333576,1,3
A_BELEAGUERED_CITY_noWikiID,60.819451680230856,0.0011791684748999384,0.002684060774804687,0.3474263698204287,0.022058319825637777,0.0520374856859669,1,5
A_CHILD_OF_THE_JAGO_Q4655860,120.76723069741712,0.003742279245025385,0.0006056565709380706,0.4249952730493947,0.10028957083302385,0.158330619297716,4,0
A_CHRISTMAS_CAROL_Q62879,92.33068326040753,0.0015627361421088708,0.0010108800320692975,0.32664611138081867,0.01729724123697641,0.374053924716987,2,2
A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION_Q4656050,47.63220887760898,0.0006806893223443862,0.0010631669302797785,0.2649429686246275,0.0034273107718526246,0.117501066676145,2,2
A_CRYSTAL_AGE_Q4656205,69.70263826426174,0.0015526405364877695,0.006773331939016048,0.40239629968300356,0.02661922120612588,0.11291791638611,3,4
A_DARK_NIGHT'S_WORK_Q16385401,90.76737456835424,0.002284376049157235,0.001660109018182769,0.3787212035367761,0.05166754095334964,0.049863479389024,3,4
A_DRAMA_IN_MUSLIN_noWikiID,84.83931027433859,0.0026092087470358065,0.0006165496747319207,0.4367183281566172,0.0731593400265049,0.207211382680442,4,3
A_DREAM_OF_JOHN_BALL_noWikiID,15.594165624122873,0.0002802814200618274,0.003139392513387625,0.26566129137636124,3.3282470885796085e-05,0.117501066676145,4,2
A_HOLIDAY_ROMANCE_noWikiID,22.70356321918564,0.0003716006421937342,0.0030871056151771437,0.2568052671748556,0.0007471261255705367,0.122244604531682,2,2
A_HOUSE_TO_LET_Q4657430,83.72620911226002,0.0018887963509165366,0.0016579303974239988,0.39353016690793247,0.045406139216974985,0.0477757206414661,1,5
A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399,14.561794678721531,0.00027866931772777605,0.014254715624632359,0.2566022296288038,2.3504764986353544e-05,0.374053924716987,0,1
A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT_noWikiID,68.87085984938444,0.0009834437030364755,0.0021306911020770973,0.2955286799827185,0.005923910298213011,0.11291791638611,0,1
A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS_noWikiID,93.77408391008642,0.0024274048983004516,0.0003376862176093559,0.37498656837385036,0.04709843859184974,0.117501066676145,3,4
A_LAODICEAN_Q2105252,100.75455056658846,0.002572548528813185,0.000459688980100478,0.38179618626257833,0.053389046243515266,0.122244604531682,3,4
A_LEGEND_OF_MONTROSE_Q3549611,83.0267952389532,0.001203262414253627,0.0007712317486045934,0.2956424415101496,0.007079789313303595,0.11291791638611,0,1
A_LITTLE_PRINCESS_Q10483376,77.48931002496096,0.0011595375423353817,0.0011720979682182805,0.29497583657177856,0.00915587007808696,0.117501066676145,2,2
A_MERE_ACCIDENT_noWikiID,87.70431866207089,0.001785588465553884,0.001433532459270685,0.3905986608134254,0.033551596549811484,0.11291791638611,4,0
A_MODERN_UTOPIA_Q1249074,31.84450408188892,0.00046389842612804504,0.0015947503954196677,0.29121541019970526,0.0014143427320830503,0.122244604531682,0,1
A_MODEST_PROPOSAL_Q264143,24.353654682040453,0.00033401761964143824,0.0022004069663577384,0.22801932893007568,0.00014707486439200602,0.172694745758032,0,1
A_PAIR_OF_BLUE_EYES_Q2931240,76.21832080164488,0.002044620530510682,0.000969486237652667,0.3842352363370103,0.054671839422231666,0.332981899154278,1,3
A_PATCH-WORK_SCREEN_FOR_THE_LADIES_noWikiID,103.65084988083149,0.0023351535729078297,0.00032461449305673566,0.3580983440603669,0.028053562596984546,0.137472234822425,0,1
A_POLITICAL_ROMANCE_Q4658949,19.498606929520843,0.00030280602070854927,0.008128434050971012,0.23901265889480802,3.7386463344053146e-05,0.122244604531682,0,1
A_RIDE_ACROSS_PALESTINE_noWikiID,66.8044256940575,0.0013907492835438743,0.001949865579099184,0.3596635411358052,0.028641042692655952,0.11291791638611,1,5
A_ROMANCE_OF_TWO_WORLDS_Q4659270,82.8121523920245,0.0021572769038263034,0.0018256841958492918,0.3802415128055756,0.04830883452919997,0.049863479389024,3,4
A_ROOM_WITH_A_VIEW_Q120288,52.2520573404299,0.0013299140666429177,0.005459623621477715,0.3690177620711903,0.03339090335076182,0.117501066676145,1,3
A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792,35.27496993288301,0.0004937428801958104,0.012827719027637983,0.3159858796703306,0.0018942930550356262,0.185923994154683,0,1
A_SICILIAN_ROMANCE_Q979649,18.892208786738042,0.000330683347672537,0.005368121549609374,0.2720683286119321,0.00046056192153949273,0.190637850864638,0,1
A_SIMPLE_STORY_Q4659531,73.56206671590127,0.0011366084418916226,0.005381193274161994,0.3751509224631289,0.0100301819215899,0.177146178958168,0,1
A_SON_OF_THE_SOIL_Q106040512,68.80485894087123,0.0016680959718404628,0.001202598658841061,0.35819935092848665,0.030067518289966875,0.049863479389024,3,4
A_SPORTSMAN'S_SKETCHES_noWikiID,60.49094353233915,0.001112883745296661,0.0033093249325716876,0.38209003521414225,0.015280700379455591,0.11291791638611,2,2
A_STORY_OF_THE_STONE_AGE_Q4659835,58.776832356050406,0.0010398146878518482,0.0018888641978536229,0.3485954599754961,0.01462755655031575,0.11291791638611,4,0
A_STUDY_IN_SCARLET_Q223131,87.84537603959207,0.0026643810015957413,0.0007298379541879627,0.40685722167054555,0.07704071394529567,0.353247063375283,1,3
A_TALE_OF_A_TUB_Q2353123,28.479350104175417,0.0004317532367898092,0.005028256711241247,0.24996548555097967,0.0010437688904749735,0.46129393099787,0,1
A_TALE_OF_TWO_CITIES_Q308918,67.62824086992751,0.0011067762473387388,0.0020370104094499853,0.3330908329034466,0.011449582944187213,0.517417033796863,4,2
A_WINDOW_IN_THRUMS_noWikiID,19.76691876785894,0.00033923730401248353,0.0024988780103092335,0.23767351299148926,0.00043706957468613494,0.11291791638611,2,2
A_WORLD_OF_GIRLS_noWikiID,118.78104355778994,0.0038196611794825692,0.00027886345712256486,0.4407552779049957,0.10599032592426387,0.049863479389024,4,0
BARCHESTER_TOWERS_Q4859885,80.73824007960206,0.001972139233625505,0.001836577299643142,0.4099563271917874,0.042085891803347444,0.30372380755444,4,0
BASIL_noWikiID,89.80695614135873,0.0027476074290203783,0.002117619377524477,0.42394742394538365,0.07301131967170081,0.294299317623214,3,4
BELINDA_noWikiID,78.72778518614854,0.0016844434728919204,0.002982531818756182,0.4220250543298349,0.03414488301112572,0.384640372733741,4,0
BLACK_BEAUTY_Q880092,13.79035729555881,0.000295036570942575,0.010004226524272014,0.26875971105265545,0.000491285509613703,0.363586690277014,2,5
BLEAK_HOUSE_Q883305,105.7648597559813,0.0030904528607006176,0.0008670910619904751,0.39704335145509084,0.07272475583771384,0.958008839727505,2,5
BLIND_LOVE_noWikiID,74.63840929296033,0.0022334573326045788,0.0012330993494638414,0.3906046446406304,0.05839280821603418,0.11291791638611,4,5
BORN_IN_EXILE_Q4945890,20.729108126845656,0.00042211039423707697,0.004420421519544407,0.288445099024775,0.003291249264446425,0.11291791638611,3,4
BROKEN_TO_HARNESS_noWikiID,93.77029497370006,0.0025536349342128984,0.002980353197997412,0.44156529777410297,0.06080088922322189,0.049863479389024,4,0
CALEB_WILLIAMS_Q7784409,53.73156776955075,0.0007619915380297475,0.005869204324126482,0.3535193191914399,0.005659966777144156,0.616422785736394,4,0
CALLISTA_(NOVEL)_Q2934238,63.74250388627289,0.001082610931582287,0.002544629046243404,0.3531788918857244,0.014175540865595334,0.11291791638611,4,0
CAMILLA_Q2934813,107.52980716347551,0.0020947258927737026,0.0004422600140303177,0.3414047194072895,0.020427655610069234,0.550971056761127,0,1
CAPTAINS_COURAGEOUS_Q1035138,35.253845919276685,0.0006009968618384137,0.007291843679603317,0.3122862331091575,0.008358600795233035,0.0477757206414661,1,3
CAPTAIN_SINGLETON_Q1728631,14.547998258598371,0.00027376524735730974,0.007167662296353425,0.24147767338228535,7.44014991880666e-06,0.122244604531682,2,2
CARMILLA_Q1043792,106.74401903313048,0.0028409302843633794,0.0019324366130290236,0.4421952822411076,0.07230437113625775,0.137472234822425,4,0
CARNIVAL_noWikiID,58.42783288298148,0.0014010966111617192,0.003564223561347782,0.3832631939785328,0.031910506306670854,0.11291791638611,4,0
CARROTS_noWikiID,66.46829756346484,0.0008730310857974917,0.00032461449305673566,0.27956075254737267,0.005004230820379385,0.0477757206414661,2,2
CASTLE_RACKRENT_Q5050238,16.377350451177637,0.0002829471155736132,0.012947543169370336,0.26575090539032553,3.329297748293088e-05,0.86626658311391,4,2
CASTLE_RICHMOND_Q5050241,108.51123644287976,0.0020016819821063224,0.0008670910619904751,0.3528161752029269,0.027743199823688926,0.117501066676145,2,2
"CATHERINE,_A_STORY_noWikiID",81.79557955309416,0.0023154677005610518,0.0031481069964227047,0.4129818231024735,0.052398776674079384,0.11291791638611,3,4
CATRIONA_noWikiID,28.73732647630347,0.0004438334750549908,0.005313656030640122,0.29031874860250156,0.0023524560746789277,0.11291791638611,2,5
CECILIA_Q3233990,89.22061214124956,0.0013402657962749219,0.0034117201082338794,0.3517848886112908,0.009075039165237919,0.177146178958168,0,1
CELESTINA_Q583705,53.13356605025327,0.0006493765980407853,0.0009063062356483358,0.27102346100176733,0.002012695082332107,0.11291791638611,0,1
CELIBATES_noWikiID,54.504944544557915,0.0007076306253635388,0.00040304484037245703,0.2689106975027297,0.003312618088937195,0.117501066676145,2,2
CHANCE_Q793748,49.69909620499924,0.0012518938815323957,0.0014553186668583853,0.34120440691289455,0.0302817188056173,0.294299317623214,1,3
CHARLOTTE_TEMPLE_noWikiID,99.56411634598767,0.002011481329547179,0.00036600828747336637,0.3235925940785871,0.020304350342157787,0.0477757206414661,0,1
CHILDREN_OF_THE_GHETTO_noWikiID,60.84946182066222,0.0014081111094256726,0.003562044940589012,0.39194550689423385,0.03089074534141383,0.0520374856859669,4,0
CHRONICLES_OF_THE_CANONGATE_Q17352486,110.42821791130686,0.001979241911063442,0.00022221931739454387,0.33152315878800603,0.01767331454646063,0.142891468333576,0,1
CITY_SCENES_noWikiID,101.72946517131774,0.002453028660540222,0.001318065559055873,0.434234432828923,0.05829724295354919,0.0477757206414661,4,0
CLARISSA_Q980534,85.73159742498359,0.002367357516866893,0.001374709698783894,0.4117407220326002,0.062303896569897516,0.965599150597217,4,5
CLEG_KELLY_noWikiID,84.20728645754784,0.0020680135845294106,0.00037690139126721656,0.37544863637312714,0.05579838606314889,0.0477757206414661,1,3
COCK_AND_ANCHOR_noWikiID,58.703804637952274,0.0008572874098819409,0.0024509483536162926,0.36744678322371954,0.007601186691253393,0.11291791638611,4,0
COELEBS_IN_SEARCH_OF_A_WIFE_Q5140605,61.72891489126517,0.0009672488155804241,0.002126333860559557,0.3348663717409235,0.006395288490498625,0.0699415703280632,0,1
COMETH_UP_AS_A_FLOWER_Q19571321,78.84551598297352,0.0018515631105702308,0.00018736138525422325,0.37439728457027843,0.04745304996569478,0.0520374856859669,1,3
CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER_Q1610128,73.96164696514073,0.0010880378097952706,0.0020609752377964558,0.2866114220045699,0.006310632685248515,0.353247063375283,0,1
CONFESSIONS_OF_A_THUG_(NOVEL)_Q5160036,53.528554616250624,0.0010180335110027256,0.009858258933434422,0.37778497485062956,0.015250621575516201,0.0566567958260902,2,5
CONFESSIONS_OF_A_YOUNG_MAN_Q5160039,78.64348683437986,0.0013755002781269117,0.004651355319974031,0.4053331349127504,0.022338565309502036,0.137472234822425,4,0
CONINGSBY_Q5161083,25.883099735406223,0.00039864103990288897,0.0030108538886201926,0.28838248905843883,0.0009508957963356696,0.122244604531682,4,1
