"canonisation_score","ID"
0.0520374856859669,"A_BELEAGUERED_CITY_noWikiID"
0.158330619297716,"A_CHILD_OF_THE_JAGO_Q4655860"
0.374053924716987,"A_CHRISTMAS_CAROL_Q62879"
0.117501066676145,"A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION_Q4656050"
0.11291791638611,"A_CRYSTAL_AGE_Q4656205"
0.049863479389024,"A_DARK_NIGHT'S_WORK_Q16385401"
0.207211382680442,"A_DRAMA_IN_MUSLIN_noWikiID"
0.117501066676145,"A_DREAM_OF_JOHN_BALL_noWikiID"
0.122244604531682,"A_HOLIDAY_ROMANCE_noWikiID"
0.0477757206414661,"A_HOUSE_TO_LET_Q4657430"
0.374053924716987,"A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399"
0.11291791638611,"A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT_noWikiID"
0.117501066676145,"A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS_noWikiID"
0.122244604531682,"A_LAODICEAN_Q2105252"
0.11291791638611,"A_LEGEND_OF_MONTROSE_Q3549611"
0.117501066676145,"A_LITTLE_PRINCESS_Q10483376"
0.11291791638611,"A_MERE_ACCIDENT_noWikiID"
0.122244604531682,"A_MODERN_UTOPIA_Q1249074"
0.172694745758032,"A_MODEST_PROPOSAL_Q264143"
0.332981899154278,"A_PAIR_OF_BLUE_EYES_Q2931240"
0.137472234822425,"A_PATCH-WORK_SCREEN_FOR_THE_LADIES_noWikiID"
0.122244604531682,"A_POLITICAL_ROMANCE_Q4658949"
0.11291791638611,"A_RIDE_ACROSS_PALESTINE_noWikiID"
0.049863479389024,"A_ROMANCE_OF_TWO_WORLDS_Q4659270"
0.117501066676145,"A_ROOM_WITH_A_VIEW_Q120288"
0.185923994154683,"A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792"
0.190637850864638,"A_SICILIAN_ROMANCE_Q979649"
0.177146178958168,"A_SIMPLE_STORY_Q4659531"
0.049863479389024,"A_SON_OF_THE_SOIL_Q106040512"
0.11291791638611,"A_SPORTSMAN'S_SKETCHES_noWikiID"
0.11291791638611,"A_STORY_OF_THE_STONE_AGE_Q4659835"
0.353247063375283,"A_STUDY_IN_SCARLET_Q223131"
0.46129393099787,"A_TALE_OF_A_TUB_Q2353123"
0.517417033796863,"A_TALE_OF_TWO_CITIES_Q308918"
0.11291791638611,"A_WINDOW_IN_THRUMS_noWikiID"
0.049863479389024,"A_WORLD_OF_GIRLS_noWikiID"
0.0477757206414661,"ACROSS_THE_ZODIAC_Q4676516"
0.117501066676145,"ACTIONS_AND_REACTIONS_noWikiID"
0.733799591996489,"ADAM_BEDE_Q2611046"
0.11291791638611,"ADELA_CATHCART_noWikiID"
0.0520374856859669,"ADELINE_MOWBRAY_Q65083334"
0.0477757206414661,"ADVENTURES_OF_A_PINCUSHION_noWikiID"
0.132226821715085,"AFTER_DARK_noWikiID"
0.11291791638611,"AFTER_LONDON;_OR,_WILD_ENGLAND_noWikiID"
0.325982643945805,"AGNES_GREY_Q517172"
0.11291791638611,"ALEC_FORBES_OF_HOWGLEN_noWikiID"
0.384640372733741,"ALICE'S_ADVENTURES_IN_WONDERLAND_Q92640"
0.0520374856859669,"ALL_SORTS_AND_CONDITIONS_OF_MEN_noWikiID"
0.142891468333576,"ALLAN_QUATERMAIN_(NOVEL)_Q4062545"
0.122244604531682,"ALMAYER'S_FOLLY_Q2404359"
0.148487553986026,"ALTON_LOCKE_Q4736895"
0.11291791638611,"AMY_FOSTER_Q4749187"
