language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness
EN,0,43,0.28084442098661316,0.06811240280921957,0.26176013035148044,0.08996103803542771,0.23774878545508016,0.12473722347262477,0.3059593474624478,0.04600742478223161
EN,1,73,0.11008308325835423,0.35385466110584085,0.12616629779165775,0.28750222865428526,0.1346024031569962,0.2562204404398944,0.12105879047364917,0.3076181363089201
EN,2,48,0.25159209415301514,0.0845269622387696,0.2315772069784492,0.1132539529016614,0.19088841331240297,0.19372403025570267,0.2473465120250769,0.09008590980516042
EN,3,102,0.11853573839723425,0.23539074206228136,0.15357667259808114,0.1232948601233317,0.15946565209586736,0.10939071519728419,0.15774766295488263,0.1133144726167563
EN,4,45,0.37147242948191184,0.011991001636487588,0.3696636367684742,0.01244647771722325,0.37845398610426256,0.010364106061720597,0.37147242948191184,0.011991001636487588
EN,5,57,0.13067269584038385,0.3326135637000366,0.14844995516405055,0.27043463716687394,0.15754914348762197,0.24182207024510913,0.149138741964414,0.26819299008230396
EN,6,34,0.4251846609088663,0.012185310418351808,0.37135394237178043,0.030591549544264397,0.3690532636458667,0.03172074542299746,0.35731114623167104,0.03802575946422816
EN,7,63,0.07208638533206557,0.5744965635519972,0.06826918366478714,0.5949754626961505,0.11861010331067436,0.3545186688398071,0.07186616215895335,0.5756691465749049
EN,8,79,0.07304988793387916,0.5223103162287834,0.10580429523038312,0.3533929947741925,0.0809497296307656,0.47820419726189545,0.10955934078877916,0.33647138412126265
EN,9,33,0.2473393634716876,0.16521534586587525,0.27994626043209453,0.11458938502422641,0.3243840367191584,0.06551139821069434,0.2758915167686242,0.12015981600679922
EN,10,38,0.1112227606244647,0.5061866288771601,0.13880777069997677,0.40590622032653023,-0.04081699973159055,0.8077660129521269,0.10592643868996637,0.5267686549732723
EN,11,1,,,,,,,,
EN,12,42,0.22344637137889387,0.15489458425157818,0.15424165153619773,0.32941827597443196,0.17437134405858581,0.2694025178304434,0.15628188502212628,0.3229827503617668
EN,13,19,-0.04057909268904422,0.8689919267044927,-0.06582830591778285,0.7888925374793647,-0.31729315303035716,0.1856132591751592,0.005410545691872563,0.9824615668193579
EN,14,1,,,,,,,,
EN,15,1,,,,,,,,
