language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness
DK,0,102,-0.07429046012218583,0.4580412325057701,-0.050048441716411915,0.6173933075995983,0.06810523527395435,0.49641437085403006,-0.035186595120203085,0.7255161766775107
DK,1,88,0.22813507316899853,0.03253509600572187,0.21721313377778934,0.04206817326662537,0.2305238840797452,0.030712472629307853,0.23932938012607333,0.02471992821604869
DK,2,73,-0.14016394132390128,0.23691190350180114,-0.18467374768902453,0.11779266826758658,-0.02830545983460256,0.8121018228882246,-0.1921582835807789,0.10338051068373945
DK,3,67,0.0956206486049963,0.44146273526591107,0.15736918136640413,0.2034361128568044,0.06453224295744782,0.6038863124444678,0.16713906527333477,0.17641456010980255
DK,4,67,-0.03549882257235554,0.7754970188050986,-0.037828543112404064,0.7611875723139968,0.1375384046293539,0.26704274602946304,-0.03274551647957092,0.792504318644706
DK,5,58,-0.08634809933686005,0.5192527651159708,-0.09382625973624549,0.48358253402230555,0.03557803964553112,0.7909017195700174,-0.06469430521336482,0.6294666308068578
DK,6,55,0.05158947160474654,0.7083602838043856,0.017963823977110945,0.8964289696197587,0.05275062574666752,0.7020979586426026,0.01969032422205067,0.8865373513760502
DK,7,47,-0.2771177136407558,0.05932412849458011,-0.26901217345148426,0.0674802868976265,-0.22453171040378894,0.12918856203433804,-0.2838468413450568,0.053170771446358386
DK,8,41,0.10007918233411955,0.5335684354439127,0.0696767496466735,0.6651031433375907,-0.011401605744856737,0.9435964163622537,0.07422088549319569,0.6446655730720303
DK,9,36,-0.21076309634598728,0.21725274075769263,-0.24426402061085872,0.15108388557413013,-0.14050083993569712,0.4137456988828011,-0.23157920462707243,0.17414787561982337
DK,10,35,0.0013396149471248849,0.9939062675452098,-0.0072004303407962565,0.967254656296423,-0.07742148730361328,0.6584444939823739,-0.020429127943654497,0.9072697411098604
DK,11,34,0.02687295354595623,0.8800854555774643,0.006139513731473146,0.9725099957999441,-0.00092641021005504,0.9958511842724824,0.022444451838008382,0.8997374537448015
DK,12,32,-0.34096192717366336,0.05617136144652937,-0.3601710498313346,0.04287717145380352,-0.16365112221608555,0.37080117461100315,-0.35056648850249905,0.049167462035077436
DK,13,31,0.06330103737662703,0.7351361199654823,-0.010362447399732536,0.9558786898311966,-0.15482238324863326,0.40562214966199905,0.030862071603551252,0.8690932062523136
DK,14,27,-0.35904245124657735,0.06588075237813831,-0.330132539587762,0.09261263569422012,-0.3058357746049161,0.12080244635139055,-0.330132539587762,0.09261263569422012
DK,15,21,-0.22176555840402407,0.3339784824700004,-0.22333836378277602,0.33047291085950425,-0.012841902142156993,0.9559413133493274,-0.22333836378277602,0.33047291085950425
DK,16,18,-0.29210740643717176,0.2395113045496658,-0.30950954979938616,0.2113596275814191,0.2702266813012919,0.27814092363186876,-0.2896213859568553,0.24371850185958102
DK,17,2,,,,,,,,
DK,18,2,,,,,,,,
DK,19,1,,,,,,,,
DK,20,1,,,,,,,,
