language,rho_log_indegree,p_log_indegree,rho_pagerank,p_pagerank,rho_betweenness,p_betweenness,rho_closeness,p_closeness
DE,0.04737094288629691,0.258429291625978,0.06033957595384143,0.14986642247139872,0.0689956434897595,0.09954920141752194,0.07074542134959547,0.09123536152131521
DK,-0.03731889992952932,0.28055232147073456,-0.03877066889735966,0.2622502099741018,0.03465442091734016,0.31634954543285393,-0.02875825085405469,0.4057308901442942
EN,0.15928640863955268,3.050967797134943e-05,0.16940612690259374,9.06695357890838e-06,0.1408559221245421,0.00023142895613697916,0.1721132326573401,6.473637398438523e-06
FR,0.06633274747535613,0.0003089472634766731,0.08406941310962869,4.7531101261624134e-06,0.07797662091941358,2.2079515240973134e-05,0.08249541826744401,7.141039453189205e-06
