language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness
EN,0,114,0.12323092172165673,0.1914741348900935,0.14027854713756857,0.13658485556514768,0.15991976073532346,0.0892033351147104,0.15458880862740884,0.10053723964640618
EN,1,89,0.11930099357311065,0.26547001899330414,0.13340144869796816,0.2126562132718748,0.15202850620046543,0.15495640102093527,0.14383321397878984,0.17870870692890062
EN,2,74,0.05734288814382606,0.6274750308494829,0.0889451909430902,0.4510866152769293,0.12770454245682103,0.27823167647379576,0.09717558194726288,0.41013489403316905
EN,3,61,0.18822593384359154,0.14630739949402916,0.2271248885747181,0.07835888496411908,0.22817156716078693,0.07695710231656396,0.23459927450445933,0.06877995387295377
EN,4,53,0.15976778380318404,0.2531420752263334,0.11394574969944858,0.4165575832738545,0.11693285515532865,0.4043649707329533,0.13941597610285472,0.319427687005599
EN,5,47,0.15488753396575217,0.29854808129245913,0.15336212643427127,0.30339024502497003,0.13416480271174427,0.3686025259642538,0.1442096812453859,0.3334954140022546
EN,6,46,0.3964250395790389,0.006382937979539119,0.3754015458954252,0.010146048109932726,0.36914209222016414,0.011582762692506096,0.3512308226184562,0.016692552102498585
EN,7,45,0.37147242948191184,0.011991001636487588,0.3696636367684742,0.01244647771722325,0.37845398610426256,0.010364106061720597,0.37147242948191184,0.011991001636487588
EN,8,44,0.1739900515660753,0.2586719358788487,0.15921291257509962,0.3019321764292526,0.1283739781680678,0.4062750857726143,0.16882522628767604,0.2732943145422765
EN,9,40,0.2679277793445852,0.0946214871617081,0.24478640654455736,0.1279241188105728,0.2140985023843115,0.18464664777535772,0.2890774766167418,0.07042677957208278
EN,10,32,0.11456119352001409,0.5324086637507558,0.1270013879541161,0.4885243235195279,-0.14609536120807898,0.42495517243589365,0.11530389169518437,0.5297366178597845
EN,11,31,-0.019439569993653094,0.9173306690886933,0.02088719754637194,0.9111977453842373,-0.02347824439086842,0.9002334132136965,0.014683079463291164,0.9375126898448594
EN,12,1,,,,,,,,
EN,13,1,,,,,,,,
EN,14,1,,,,,,,,
