language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness
FR,0,291,-0.1768827686251228,0.0024591680511406727,-0.1671402575865146,0.004248902293358638,-0.08033548953125975,0.17170920290672936,-0.15613427667883975,0.0076219852969038925
FR,1,246,0.13951191995445783,0.028689702879477863,0.1364541218701121,0.032410151953485296,0.08682500335075576,0.1746459503509608,0.11674454739108206,0.06755010817932049
FR,2,176,0.0418441289473974,0.5813518898547364,0.038691250287273306,0.6101699626733442,0.08892362003407962,0.24054502937218478,0.02714065690207933,0.7206713183958907
FR,3,172,0.385805789046008,1.7257797829524463e-07,0.4216080470578541,8.42087721087079e-09,0.39702524492531505,6.957583071858553e-08,0.43387519124247415,2.750604886332967e-09
FR,4,167,-0.017129500182214166,0.8260928004604796,-0.017914726106008475,0.8182558316830321,-0.01492571633825738,0.8481772047708619,0.0008743850426315147,0.9910521701873658
FR,5,155,0.13863059740939043,0.08538104263547809,0.1525134776578995,0.058157873267625664,0.13254605937603325,0.10015764731123988,0.1471917779372168,0.06760101155676296
FR,6,154,-0.2054434209805947,0.010587107983243629,-0.1921172166220561,0.016988018291866247,-0.1879545076499775,0.019580306632887106,-0.19604770507677383,0.014819453533867148
FR,7,145,-0.13383105095212372,0.10853360054746641,-0.1376770205160618,0.09866188111976212,-0.14210623443883466,0.08818707098571509,-0.12729122078254096,0.12707555324003253
FR,8,142,0.15565025307860705,0.06435926806209497,0.20765918399544603,0.013146838605789034,0.1780338156100097,0.034028727840724485,0.24001714515164208,0.00401433228047215
FR,9,139,0.10351164003543091,0.22527351980379984,0.10000242856133884,0.2414769186479681,0.10454250863350362,0.22066301433034427,0.12437756293713664,0.14461494513797293
FR,10,136,0.1763313427767873,0.04002432744704456,0.14658880886420414,0.08857979659110714,0.08758480011881575,0.31061726810110557,0.11839604281166624,0.16981066008529172
FR,11,129,0.26332209750185404,0.0025693553023350027,0.29512754495311844,0.000685452857083271,0.23391389950464878,0.007630156519380217,0.30563694416222253,0.00042789553268791165
FR,12,119,0.07245447098409506,0.4335847372636562,0.0746208407948016,0.41992556191545094,-0.01672936268445794,0.856695583554831,0.07192709694903048,0.43694785267782965
FR,13,117,-0.08645462812191687,0.354006347747275,-0.12640725495049165,0.17443902374330655,-0.12861065224274476,0.16698790686876752,-0.1201247602821962,0.19702487487225154
FR,14,101,0.38845734517875874,5.9651503041180036e-05,0.3899590194921318,5.552722900751384e-05,0.3259887533306911,0.0008787061878204467,0.3895819470874522,5.653706468112529e-05
FR,15,100,-0.11965213605511213,0.2357236465917512,-0.11844463154180702,0.24051854155025632,-0.05748637006783827,0.5699627480344587,-0.09980538634174609,0.3231647283163289
FR,16,99,0.06624287805491315,0.5147537244412046,0.053418725192031585,0.599489696095932,0.04467541926281289,0.660597254429831,0.04602791526820257,0.6509840711374022
FR,17,94,-0.04086626732465885,0.6957415851083588,0.010639288564299841,0.9189357221380994,-0.04149511514003078,0.6912949825471204,0.011598724408044736,0.9116537002496558
FR,18,94,0.19957587172275584,0.05379060334932939,0.21073234005243704,0.04147558749119724,0.210554216761251,0.041651948479855386,0.2371091743012155,0.021390627278842212
FR,19,86,-0.007958143013162413,0.9420273495873297,0.026217722928142465,0.8106275270172093,0.1175995713249927,0.2808721679472823,0.023036729774943834,0.8332496295913774
FR,20,58,0.22849342305063808,0.08449561225539523,0.19528142127764395,0.14182495130329847,0.1371631386999706,0.3045493666623044,0.18453257574258575,0.16553110774557236
FR,21,34,0.04571762720455467,0.7973792677403595,0.16745812691971354,0.3438300449613838,0.25325234101829014,0.14841638356138726,0.20953912468754224,0.23429374159963762
