language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness,spearman_eigenvector,p_eigenvector
EN,0,134,0.15517231464379572,0.0734087116364365,0.13606184522422993,0.11698081983698547,-0.10212096679571087,0.24034173294427255,0.039437672870681964,0.6509641790506128,0.1274372746350887,0.14227752092093646
EN,1,110,-0.11081530920795216,0.24910846628787123,-0.10702349525502779,0.2657732619916978,0.05270678632002969,0.5844756436670379,-0.11660281471504721,0.22508647904547874,-0.08979704861243601,0.3508575464954333
EN,2,139,0.1988245113410142,0.018954984359110208,0.17649425578024988,0.037673347642944416,0.022613755041932925,0.7915961749187104,0.15144046920084467,0.07513940077057604,0.17259225221514504,0.04218091917323312
EN,3,95,-0.00600129186369559,0.9539720459504845,-0.013874029959211845,0.8938426056454156,-0.10327888486204859,0.3192606498985946,-0.08754287767873883,0.39889970791845764,-0.04528055619548044,0.6630389473610139
EN,4,201,0.14859001444828066,0.035274842124361355,0.14419063312312666,0.041132708677410895,-0.10537560093685562,0.13654331446765874,0.14461860874266538,0.04052907508781941,0.13715281182404568,0.052193494524040276
