language,centrality,n,spearman_rho,p_value
DE,indegree,571,2.159863023869079e-05,0.9995891043246324
DE,pagerank,571,-0.02121416034821947,0.6129469981995872
DE,betweenness,571,0.02514427850534142,0.5487622218381929
DE,closeness,571,-0.03857027726357165,0.3575817290825154
DE,eigenvector,571,-0.03856730388385818,0.3576188200655884
DK,indegree,838,-0.009943701537968275,0.773783099024368
DK,pagerank,838,0.010704740656637826,0.7569947549291195
DK,betweenness,838,-0.03987368723778143,0.2489069946611728
DK,closeness,838,-0.003470310053516775,0.9200984714196199
DK,eigenvector,838,0.05288624339095469,0.12607898515207147
EN,indegree,679,0.09015282592762684,0.018792251759556906
EN,pagerank,679,0.08710430939469502,0.023215757287833448
EN,betweenness,679,-0.09925137196754448,0.009656789137528128
EN,closeness,679,0.0009736451481830695,0.9797964163320054
EN,eigenvector,679,0.09214488151816232,0.016316206154695746
FR,indegree,2960,-0.02401392465677514,0.19150656648901407
FR,pagerank,2960,-0.03380372366955326,0.06593429443904904
FR,betweenness,2960,0.040083717335554214,0.029202263030716862
FR,closeness,2960,-0.023829020399886793,0.19494954211258494
FR,eigenvector,2960,-0.04137692195573884,0.024375333793429044
