louvain_cluster,0-0.25,0.25-0.5,0.5-0.75,0.75-1
0,-1.5351424809905494,2.788148461295159,-0.019002589724690506,3.674156194267903
1,0.5686054226803741,-1.618001717657682,0.5959286681185385,-0.9067500780574983
2,-1.5177205267714466,1.373530778571352,2.804325705645453,1.9833801977783507
3,-0.7428945432966051,1.0242840079955513,1.5907237135426082,-0.3902429074664925
4,1.045950194793785,-1.6426445828319614,-1.3584017525595067,-0.5869792701588665
5,0.9575484329295306,-1.1121997122383165,-1.374522516503129,-1.341462885446715
6,0.7206447794787639,-0.7977443435517306,-1.1440999865272288,-0.9067500780574983
7,0.2934862686566431,-0.32766924346407894,-0.23169714403971603,-0.8071872847420013
8,0.7778007778868881,-1.153657549658455,-0.8157590765305497,-0.9885984872402684
9,-0.9047537912189147,1.3476506990566366,0.9529329479737388,1.126996764670527
10,0.3364999652881332,0.017194985572123428,-0.7922347018295425,-0.980721082919145
