language,rho_log_indegree,p_log_indegree,rho_pagerank,p_pagerank,rho_betweenness,p_betweenness,rho_closeness,p_closeness,rho_eigenvector,p_eigenvector
DE,0.027284690680794747,0.5152552429695025,0.015149426981132507,0.7179258772987884,0.021813923831974377,0.6029405086613082,0.03078666180791475,0.46280985196705837,0.0038183624447352582,0.9274588416615444
DK,0.04506338448825396,0.1924996371375153,0.05757049235707235,0.09582148445944803,-0.0029068051765832967,0.93303938723057,0.02820486270337026,0.41482946270195986,0.07384311076330825,0.032569117442218375
EN,0.08988334909266195,0.019151199553741817,0.057024152217165495,0.13770697718683297,-0.058157953753729515,0.1300391023686317,-0.010263486483981085,0.7895027420710868,0.030879708164911732,0.42176612326016205
FR,-0.07336487681885816,6.464526948489836e-05,-0.1139104583640524,5.131824318757605e-10,0.09259126102007025,4.506259836600113e-07,-0.08482492364881479,3.812394715517705e-06,-0.1279393159605215,2.8195064330515195e-12
