language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness,spearman_eigenvector,p_eigenvector
DK,0,72,-0.06321783791121068,0.597803952730374,-0.04815428097203453,0.6879161243438219,-0.05124105614360601,0.6690397675161415,0.004647081011503696,0.9690961887036427,0.004401574844858218,0.9707281060436808
DK,1,53,0.008785759212466479,0.9502146024496321,-0.03555821397154418,0.8004422099848402,0.003690984198800638,0.9790738053456742,-0.025005622373943055,0.858934613583579,-0.0737676982830719,0.5996198268592644
DK,2,65,0.009965466619928086,0.9372019248671996,-0.04737138871937379,0.7078684615631521,0.15279308697855828,0.224326035830443,-0.029400488013768877,0.8161611006355414,-0.09372631477266091,0.45771134023334314
DK,3,95,0.10576478583175544,0.30768804334075645,0.14739864433709146,0.15402883764759054,0.10500032232812642,0.311217391056871,0.11291377969536341,0.27594818655962644,0.17014773409343725,0.09925326159081964
DK,4,115,0.06096904058541425,0.5174506495566207,0.05837201437929338,0.5354813110926335,0.07178215837751227,0.44584948555799964,0.12801905255325877,0.1727340094490709,0.09517118530406125,0.3116592223093058
DK,5,116,0.020623831784841715,0.8260710895841861,0.04731320266707786,0.6140204968715479,0.04584488772707458,0.6250722899031692,0.02423468791280892,0.7962318823406963,0.05478702017513028,0.5591376021284111
DK,6,53,0.07325768472963594,0.6021521612331717,0.04987075622265304,0.7228682847150152,-0.09013044593558704,0.5209890430038111,-0.033852312039788036,0.8098334865053989,0.02984770099407178,0.8319819713310748
DK,7,42,0.09283263674332665,0.5587272115895721,0.1825905619512055,0.24712025803591878,0.13363169365599883,0.3988425886041379,0.1918146965575488,0.2236328052288395,0.186226376716727,0.23767159671054416
DK,8,63,-0.29173449987830313,0.02034541869852432,-0.22427184005129774,0.0772213710034769,-0.17846665603005352,0.1616833564744923,-0.2180839898210802,0.08596829533058942,-0.13303718337255643,0.2986031038058476
DK,9,102,0.09911713333684884,0.32161727837812787,0.062229570597352034,0.5343728731062176,-0.044170641056991686,0.6593441393007544,-0.03472074991857246,0.729008224423458,0.04406702690089079,0.660093707764748
DK,10,62,0.27375644814463573,0.03131819357386754,0.23404699778259538,0.06711484529047748,-0.06301990302709884,0.6265384119128918,0.15412544578810913,0.23167721934802732,0.2582370901708636,0.042714212889647184
